TO,FROM,TOTALVOLUME,ADDRESSESCOUNT,ID,SYMBOL,PARTNER_SYMBOL,TIME,MERGE_KEY
100.0,10.0,3084727.79562169,110479,1182,BTC,BTC,1594944000,1594944000_10.0_100.0
1000.0,100.0,3502452.30172652,13925,1182,BTC,BTC,1594944000,1594944000_100.0_1000.0
10000.0,1000.0,5116378.95649311,2059,1182,BTC,BTC,1594944000,1594944000_1000.0_10000.0
100000.0,10000.0,2415398.68110613,102,1182,BTC,BTC,1594944000,1594944000_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1594944000,1594944000_100000.0_0.0
0.001,1e-08,2906.38798958,14747036,1182,BTC,BTC,1595030400,1595030400_1e-08_0.001
0.01,0.001,30184.10075057,7460494,1182,BTC,BTC,1595030400,1595030400_0.001_0.01
0.1,0.01,175416.88869377,5463622,1182,BTC,BTC,1595030400,1595030400_0.01_0.1
1.0,0.1,724482.67810265,2303164,1182,BTC,BTC,1595030400,1595030400_0.1_1.0
10.0,1.0,1736926.13280993,667072,1182,BTC,BTC,1595030400,1595030400_1.0_10.0
100.0,10.0,3084768.49555018,110462,1182,BTC,BTC,1595030400,1595030400_10.0_100.0
1000.0,100.0,3502725.82697474,13909,1182,BTC,BTC,1595030400,1595030400_100.0_1000.0
10000.0,1000.0,5118948.20410508,2061,1182,BTC,BTC,1595030400,1595030400_1000.0_10000.0
100000.0,10000.0,2415958.49132268,102,1182,BTC,BTC,1595030400,1595030400_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595030400,1595030400_100000.0_0.0
0.001,1e-08,2903.75341625,14745638,1182,BTC,BTC,1595116800,1595116800_1e-08_0.001
0.01,0.001,30107.74852466,7443266,1182,BTC,BTC,1595116800,1595116800_0.001_0.01
0.1,0.01,174280.67978862,5427415,1182,BTC,BTC,1595116800,1595116800_0.01_0.1
1.0,0.1,723095.89438594,2296604,1182,BTC,BTC,1595116800,1595116800_0.1_1.0
10.0,1.0,1736302.72178339,666958,1182,BTC,BTC,1595116800,1595116800_1.0_10.0
100.0,10.0,3086877.83404491,110619,1182,BTC,BTC,1595116800,1595116800_10.0_100.0
1000.0,100.0,3502772.62451919,13905,1182,BTC,BTC,1595116800,1595116800_100.0_1000.0
10000.0,1000.0,5118023.11719382,2058,1182,BTC,BTC,1595116800,1595116800_1000.0_10000.0
100000.0,10000.0,2418771.5826424,102,1182,BTC,BTC,1595116800,1595116800_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595116800,1595116800_100000.0_0.0
0.001,1e-08,2905.90014379,14756928,1182,BTC,BTC,1595203200,1595203200_1e-08_0.001
0.01,0.001,30178.3009892,7459983,1182,BTC,BTC,1595203200,1595203200_0.001_0.01
0.1,0.01,174056.80652147,5420855,1182,BTC,BTC,1595203200,1595203200_0.01_0.1
1.0,0.1,723933.57986635,2297064,1182,BTC,BTC,1595203200,1595203200_0.1_1.0
10.0,1.0,1735465.61193395,666982,1182,BTC,BTC,1595203200,1595203200_1.0_10.0
100.0,10.0,3087700.14318284,110678,1182,BTC,BTC,1595203200,1595203200_10.0_100.0
1000.0,100.0,3503253.37956263,13908,1182,BTC,BTC,1595203200,1595203200_100.0_1000.0
10000.0,1000.0,5119232.05388007,2058,1182,BTC,BTC,1595203200,1595203200_1000.0_10000.0
100000.0,10000.0,2417291.43021888,102,1182,BTC,BTC,1595203200,1595203200_10000.0_100000.0
0.0,100000.0,255502.15867178,1,1182,BTC,BTC,1595203200,1595203200_100000.0_0.0
0.001,1e-08,2912.85864712,14779558,1182,BTC,BTC,1595289600,1595289600_1e-08_0.001
0.01,0.001,30195.50757153,7469442,1182,BTC,BTC,1595289600,1595289600_0.001_0.01
0.1,0.01,174984.12854599,5449252,1182,BTC,BTC,1595289600,1595289600_0.01_0.1
1.0,0.1,726845.82235202,2308416,1182,BTC,BTC,1595289600,1595289600_0.1_1.0
