INOUTVAR_SENTIMENT,INOUTVAR_VALUE,LTHANDSTH_SENTIMENT,LTHANDSTH_VALUE,CONCENTRATION_SENTIMENT,CONCENTRATION_VALUE,LARGESURPLUS_SENTIMENT,LARGESURPLUS_VALUE,FETCHED_AT
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-03 04:28:10.197392-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-05 04:33:50.184486-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-08 10:20:41.313092-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-13 17:14:38.896292-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-15 22:25:30.153729-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-17 04:27:53.653951-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-08 04:32:53.118315-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-09 04:31:45.255573-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-09 17:09:29.599963-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-17 10:20:48.664079-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-02 05:00:18.684987-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-05 17:11:41.868974-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-12 17:08:42.106500-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-14 17:10:35.722741-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-16 04:31:29.188855-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-17 17:17:32.791913-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-02 08:46:16.492575-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-06 22:25:28.705193-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-07 10:23:58.665657-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-07 22:25:22.049631-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-11 17:15:13.712342-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-04 22:30:08.435808-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-10 17:18:27.880764-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-12 10:24:29.774664-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-13 10:24:29.792543-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-02 10:22:13.291976-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-03 22:23:05.854647-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-06 10:23:07.340945-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-06 17:11:56.145539-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-13 22:26:03.232660-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-10 22:23:16.116827-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-16 10:23:33.727636-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-10 10:21:01.233129-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-11 10:21:30.275975-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-04 10:21:02.025285-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-12 22:25:16.452016-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-16 17:09:30.474921-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-16 22:22:39.471939-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-14 10:25:17.973844-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-17 22:23:03.156391-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-02 22:22:51.473901-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-06 04:32:04.542273-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-15 04:32:33.569835-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-07 17:11:35.340516-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-11 04:29:07.527421-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-08 22:25:14.271729-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-02 17:06:56.045172-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-03 10:20:45.498247-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-04 04:28:31.088023-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-04 17:17:30.337870-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-08 17:12:28.084419-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-14 04:32:47.416987-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-05 22:25:33.083750-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-09 10:23:43.077411-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-15 17:12:23.918227-08:00
bullish,0.008942968239575987,bearish,0.0017316761109289242,bearish,-0.007919304457653962,bearish,0.00390876452666109,2026-01-05 10:24:21.139565-08:00
